"","name","year","rating","synopsis"
"1","The Shawshank Redemption","(1994)","9.3","
Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
"2","The Godfather","(1972)","9.2","
The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son."
"3","The Dark Knight","(2008)","9.0","
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
"4","The Lord of the Rings: The Return of the King","(2003)","9.0","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"5","Schindler's List","(1993)","9.0","
In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
"6","The Godfather Part II","(1974)","9.0","
The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
"7","12 Angry Men","(1957)","9.0","
The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict."
"8","Jai Bhim","(2021)","8.9","
When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
"9","Pulp Fiction","(1994)","8.9","
The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"10","Inception","(2010)","8.8","
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
"11","The Lord of the Rings: The Two Towers","(2002)","8.8","
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
"12","Fight Club","(1999)","8.8","
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more."
"13","The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
"14","Forrest Gump","(1994)","8.8","
The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
"15","Il buono, il brutto, il cattivo","(1966)","8.8","
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
"16","The Matrix","(1999)","8.7","
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
"17","Goodfellas","(1990)","8.7","
The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
"18","The Empire Strikes Back","(1980)","8.7","
After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
"19","One Flew Over the Cuckoo's Nest","(1975)","8.7","
A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
"20","Top Gun: Maverick","(2022)","8.6","
After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him."
"21","Interstellar","(2014)","8.6","
A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"22","Cidade de Deus","(2002)","8.6","
In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
"23","Sen to Chihiro no kamikakushi","(2001)","8.6","
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
"24","Saving Private Ryan","(1998)","8.6","
Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
"25","The Green Mile","(1999)","8.6","
The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
"26","La vita è bella","(1997)","8.6","
When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
"27","Se7en","(1995)","8.6","
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
"28","Terminator 2: Judgment Day","(1991)","8.6","
A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg."
"29","The Silence of the Lambs","(1991)","8.6","
A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
"30","Star Wars","(1977)","8.6","
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
"31","Seppuku","(1962)","8.6","
When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
"32","Shichinin no samurai","(1954)","8.6","
""A veteran samurai, gathers six samurais to protect a village from the cruel bandits. As the samurais teach the natives how to defend themselves, the village is attacked by a pack of 40 bandits."
"33","It's a Wonderful Life","(1946)","8.6","
An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed."
"34","Gisaengchung","(2019)","8.5","
Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
"35","Whiplash","(2014)","8.5","
A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
"36","The Intouchables","(2011)","8.5","
After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
"37","The Prestige","(2006)","8.5","
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
"38","The Departed","(2006)","8.5","
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
"39","The Pianist","(2002)","8.5","
A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II."
"40","Gladiator","(2000)","8.5","
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"41","American History X","(1998)","8.5","
A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did."
"42","The Usual Suspects","(1995)","8.5","
A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
"43","Léon","(1994)","8.5","
12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
"44","The Lion King","(1994)","8.5","
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"45","Nuovo Cinema Paradiso","(1988)","8.5","
A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist."
"46","Hotaru no haka","(1988)","8.5","
A young boy and his little sister struggle to survive in Japan during World War II."
"47","Back to the Future","(1985)","8.5","
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
"48","Apocalypse Now","(1979)","8.5","
A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god."
"49","Alien","(1979)","8.5","
The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission."
"50","Once Upon a Time in the West","(1968)","8.5","
A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad."
